question,optionA,optionB,optionC,optionD,correctAnswer
What is the capital of France?,London,Berlin,Paris,Madrid,C
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Michelangelo,C
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D
In which year did World War II end?,1943,1944,1945,1946,C
What is the chemical symbol for gold?,Go,Gd,Au,Ag,C
Who wrote Romeo and Juliet?,Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,B
What is the smallest prime number?,0,1,2,3,C
Which country is home to the kangaroo?,New Zealand,Australia,South Africa,Brazil,B
What is the speed of light?,300000 km/s,150000 km/s,450000 km/s,600000 km/s,A
Who was the first person to walk on the moon?,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,John Glenn,C
What is the largest mammal in the world?,African Elephant,Blue Whale,Giraffe,Polar Bear,B
Which element has the atomic number 1?,Helium,Hydrogen,Oxygen,Carbon,B
What is the capital of Japan?,Seoul,Beijing,Bangkok,Tokyo,D
Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Stephen Hawking,Galileo Galilei,B
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Platinum,C
Which river is the longest in the world?,Amazon River,Nile River,Yangtze River,Mississippi River,B
What is the main ingredient in guacamole?,Tomato,Avocado,Pepper,Onion,B
How many continents are there?,5,6,7,8,C
What is the boiling point of water at sea level?,90°C,100°C,110°C,120°C,B
